Date,Country,Test_Per_Day,Cases,Total_Intensive_Care,Deaths,Recovered
10.03.2020,Turkey,0,1,0,0,0
11.03.2020,Turkey,0,1,0,0,0
12.03.2020,Turkey,0,1,0,0,0
13.03.2020,Turkey,0,5,0,0,0
14.03.2020,Turkey,0,6,0,0,0
15.03.2020,Turkey,0,18,0,0,0
16.03.2020,Turkey,0,47,0,0,0
17.03.2020,Turkey,0,98,0,1,0
18.03.2020,Turkey,2015,191,0,2,0
19.03.2020,Turkey,1981,359,0,4,0
20.03.2020,Turkey,3656,670,0,9,0
21.03.2020,Turkey,2970,947,0,21,0
22.03.2020,Turkey,1738,1236,0,30,0
23.03.2020,Turkey,3672,1529,0,37,0
24.03.2020,Turkey,3952,1872,136,44,0
25.03.2020,Turkey,5035,2433,0,59,26
26.03.2020,Turkey,7286,3629,0,75,26
27.03.2020,Turkey,7533,5698,344,92,42
28.03.2020,Turkey,7641,7402,445,108,70
29.03.2020,Turkey,9982,9217,568,131,105
30.03.2020,Turkey,11535,10827,725,168,162
31.03.2020,Turkey,15422,13531,847,214,243
01.04.2020,Turkey,14396,15679,979,277,333
02.04.2020,Turkey,18757,18135,1101,356,415
03.04.2020,Turkey,16160,20921,1251,425,484
04.04.2020,Turkey,19664,23934,1311,501,786
05.04.2020,Turkey,20065,27069,1381,574,1042
06.04.2020,Turkey,21400,30217,1415,649,1326
07.04.2020,Turkey,20023,34109,1474,725,1582
08.04.2020,Turkey,24900,38226,1492,812,1846
09.04.2020,Turkey,28578,42282,1552,908,2142
10.04.2020,Turkey,30864,47029,1667,1006,2423
11.04.2020,Turkey,33170,52167,1626,1101,2965
12.04.2020,Turkey,35720,56956,1665,1198,3446
13.04.2020,Turkey,34456,61049,1786,1296,3957
14.04.2020,Turkey,33070,65111,1809,1403,4799
15.04.2020,Turkey,34090,69392,1820,1518,5674
16.04.2020,Turkey,40427,74193,1854,1643,7089
17.04.2020,Turkey,40270,78546,1845,1769,8631
18.04.2020,Turkey,40520,82329,1894,1890,10453
