state,county,candidate,party,votes
Delaware,Kent County,Christopher Coons,DEM,43868
Delaware,Kent County,Lauren Witzke,REP,38550
Delaware,Kent County,Mark Turley,IPD,1553
Delaware,Kent County,Nadine Frost,LIB,958
Delaware,New Castle County,Christopher Coons,DEM,191003
Delaware,New Castle County,Lauren Witzke,REP,79510
Delaware,New Castle County,Mark Turley,IPD,4246
Delaware,New Castle County,Nadine Frost,LIB,3307
Delaware,Sussex County,Lauren Witzke,REP,67383
Delaware,Sussex County,Christopher Coons,DEM,56126
Delaware,Sussex County,Mark Turley,IPD,2003
Delaware,Sussex County,Nadine Frost,LIB,956
Georgia,Appling County,David Perdue,REP,6306
Georgia,Appling County,Jon Ossoff,DEM,1753
Georgia,Appling County,Shane Hazel,LIB,128
Georgia,Atkinson County,David Perdue,REP,2272
Georgia,Atkinson County,Jon Ossoff,DEM,773
Georgia,Atkinson County,Shane Hazel,LIB,52
Georgia,Atkinson County, Write-ins,WRI,0
Georgia,Bacon County,David Perdue,REP,3929
Georgia,Bacon County,Jon Ossoff,DEM,591
Georgia,Bacon County,Shane Hazel,LIB,70
Georgia,Baker County,David Perdue,REP,873
Georgia,Baker County,Jon Ossoff,DEM,648
Georgia,Baker County,Shane Hazel,LIB,13
Georgia,Baldwin County,David Perdue,REP,8873
Georgia,Baldwin County,Jon Ossoff,DEM,8783
Georgia,Baldwin County,Shane Hazel,LIB,426
Georgia,Banks County,David Perdue,REP,7636
Georgia,Banks County,Jon Ossoff,DEM,899
Georgia,Banks County,Shane Hazel,LIB,190
Georgia,Barrow County,David Perdue,REP,26310
Georgia,Barrow County,Jon Ossoff,DEM,10057
Georgia,Barrow County,Shane Hazel,LIB,1193
Georgia,Barrow County, Write-ins,WRI,51
Georgia,Bartow County,David Perdue,REP,37008
Georgia,Bartow County,Jon Ossoff,DEM,11663
Georgia,Bartow County,Shane Hazel,LIB,1361
Georgia,Ben Hill County,David Perdue,REP,4077
Georgia,Ben Hill County,Jon Ossoff,DEM,2284
Georgia,Ben Hill County,Shane Hazel,LIB,116
Georgia,Berrien County,David Perdue,REP,6277
Georgia,Berrien County,Jon Ossoff,DEM,1203
Georgia,Berrien County,Shane Hazel,LIB,159
Georgia,Berrien County, Write-ins,WRI,0
Georgia,Bibb County,Jon Ossoff,DEM,41715
Georgia,Bibb County,David Perdue,REP,26570
Georgia,Bibb County,Shane Hazel,LIB,1404
Georgia,Bibb County, Write-ins,WRI,110
Georgia,Bleckley County,David Perdue,REP,4281
Georgia,Bleckley County,Jon Ossoff,DEM,1249
Georgia,Bleckley County,Shane Hazel,LIB,114
Georgia,Brantley County,David Perdue,REP,6812
Georgia,Brantley County,Jon Ossoff,DEM,688
Georgia,Brantley County,Shane Hazel,LIB,116
Georgia,Brooks County,David Perdue,REP,4250
Georgia,Brooks County,Jon Ossoff,DEM,2607
Georgia,Brooks County,Shane Hazel,LIB,119
Georgia,Bryan County,David Perdue,REP,14067
Georgia,Bryan County,Jon Ossoff,DEM,6497
Georgia,Bryan County,Shane Hazel,LIB,599
Georgia,Bulloch County,David Perdue,REP,18232
Georgia,Bulloch County,Jon Ossoff,DEM,10846
Georgia,Bulloch County,Shane Hazel,LIB,715
Georgia,Burke County,David Perdue,REP,5407
Georgia,Burke County,Jon Ossoff,DEM,4989
Georgia,Burke County,Shane Hazel,LIB,164
Georgia,Butts County,David Perdue,REP,8326
Georgia,Butts County,Jon Ossoff,DEM,3127
Georgia,Butts County,Shane Hazel,LIB,215
Georgia,Butts County, Write-ins,WRI,17
Georgia,Calhoun County,Jon Ossoff,DEM,1211
Georgia,Calhoun County,David Perdue,REP,933
Georgia,Calhoun County,Shane Hazel,LIB,28
Georgia,Camden County,David Perdue,REP,14987
Georgia,Camden County,Jon Ossoff,DEM,7467
Georgia,Camden County,Shane Hazel,LIB,895
Georgia,Candler County,David Perdue,REP,3073
Georgia,Candler County,Jon Ossoff,DEM,1224
Georgia,Candler County,Shane Hazel,LIB,60
Georgia,Candler County, Write-ins,WRI,5
Georgia,Carroll County,David Perdue,REP,36997
Georgia,Carroll County,Jon Ossoff,DEM,15549
Georgia,Carroll County,Shane Hazel,LIB,1427
Georgia,Catoosa County,David Perdue,REP,24552
